country,code,region,income group,year,Number of conference papers Percapita,Number of journal papers Percapita,Number of Deep Learning papers Percapita,Number of patents Percapita,Total Funding Amount Percapita,Total Number of Startups Percapita,AI hiring index,Number of conference papers,Count of conference citation,Count of citation references,Number of journal papers,Count of journal citation,Count of journal references,Number of AI occupational skills,Number of Deep Learning papers,Number of patents,Count of patent citation,Count of patent references,Percentile Rank,Proportion of female AI authors,Proportion of female in AI workplace,Revealed Comparative Advantage - Deep Learning Papers,Share of total enrollment,Skill Penetration Index,Total Funding Amount,Total Number of Startups,Total number of hires on LinkedIn,Number of conference papers Percapita scaled,Number of journal papers Percapita scaled,Number of Deep Learning papers Percapita scaled,Number of patents Percapita scaled,Total Funding Amount Percapita scaled,Total Number of Startups Percapita scaled,AI hiring index scaled,Number of conference papers scaled,Count of conference citation scaled,Count of citation references scaled,Number of journal papers scaled,Count of journal citation scaled,Count of journal references scaled,Number of AI occupational skills scaled,Number of Deep Learning papers scaled,Number of patents scaled,Count of patent citation scaled,Count of patent references scaled,Percentile Rank scaled,Proportion of female AI authors scaled,Proportion of female in AI workplace scaled,Revealed Comparative Advantage - Deep Learning Papers scaled,Share of total enrollment scaled,Skill Penetration Index scaled,Total Funding Amount scaled,Total Number of Startups scaled,Total number of hires on LinkedIn scaled
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2018,1.66e-06,1.64e-06,2.25e-07,0.0,0.19143848,8.65e-08,2.226624414,95.63888889,55,1830,95.02380952,358,5972,9,13,0.0,0,0,0.338983059,0.0,0.0,1.041163948,0.047514312,0.36102,11061243,5,549,0.24595126399999998,0.304731355,0.58451514,0.0,0.12131227300000001,0.455484182,65.40400444,0.059239424000000006,0.0,0.0,0.45539059200000004,0.0,0.619446115,5.732484076,0.38999025,0.0,0.0,0.0,33.898305900000004,0.0,0.0,68.22357513,28.92719628,13.72871881,0.057560254000000005,0.20891364899999998,0.951654562
Spain,ESP,Europe & Central Asia,High income,2018,1.75e-05,2.0600000000000003e-05,2.87e-06,7.13e-08,2.688785911,7.28e-07,1.878981255,819.0757937000001,1523,21027,962.8832722999999,4989,59798,38,134,3.333333333,0,30,0.525423706,33.26728173,0.166441843,0.7813445809999999,0.054995681,0.8942100000000001,125630158,34,3988,15.23005903,30.71371291,8.038915068,0.38333333299999994,1.7837968469999999,4.519365996,55.19246873,6.450355691,0.731312427,6.222670267000001,8.704996205,2.802963358,10.86600623,24.20382166,4.32239194,0.11526048900000001,0.0,0.042911702,52.5423706,79.88922431,52.18237709,49.48737537,34.75189162,34.00464697,0.68256158,2.228412256,6.912929675
Sweden,SWE,Europe & Central Asia,High income,2018,2.5300000000000002e-05,2.37e-05,6.48e-06,1.13e-06,15.71050159,3.83e-06,1.828415128,257.2111111,446,6726,241.39527420000002,1307,14185,14,66,11.5,3,83,0.8813559409999999,29.77129571,0.16147239300000002,0.583509466,0.107824592,0.5613,159982787,39,1915,22.60859694,35.68564555,18.21297319,6.075268817,10.45235501,24.17043597,53.70715887,1.486629775,0.194784168,1.5870288909999999,1.846752798,0.574392621,2.182909836,8.917197452,2.112447189,0.39764868600000003,0.046533270999999994,0.11872237599999999,88.1355941,71.49384011,50.62436915,35.22100917,75.88237349,21.34488358,0.869963536,2.576601671,3.319523653
Switzerland,CHE,Europe & Central Asia,High income,2018,5.660000000000001e-05,4.3700000000000005e-05,2.68e-05,5.5e-06,23.46595984,2.7e-06,1.768821659,482.3611472,2555,18014,372.4091381,3203,29080,25,228,46.83333333,1,270,0.796610177,24.52997564,0.176245834,1.141275866,0.107944384,0.68329,199848856,23,1821,52.21734524,67.76263031,75.48080175,29.56989247,15.61516477,17.01192241,51.95668336,3.475690671,1.24542307,5.246012169,3.092130366,1.72196734,5.018389212,15.92356688,7.377315567,1.619409866,0.01551109,0.38620531799999996,79.6610177,58.90714914,55.25609670000001,75.44288644,75.97563876,25.983868700000002,1.087442648,1.4623955430000002,3.156580977
United Arab Emirates,ARE,Middle East & North Africa,High income,2018,1.07e-05,7.61e-06,1.45e-06,4.15e-06,5.891044807,8.31e-07,0.0,103.2333333,198,3140,73.26666667,399,5154,6,14,40.0,2,349,0.186440677,0.0,0.166491413,1.155230861,0.055519734,0.39671999999999996,56736411,8,0,8.797487513,9.879711307,4.036930986000001,22.31182796,3.915541094,5.171867675,0.0,0.126331629,0.0712382,0.42463395600000003,0.248573872,0.024815697999999997,0.463727946,3.821656051,0.422489438,1.3831258640000001,0.031022181,0.49920613399999997,18.6440677,0.0,52.19791814,76.44921471,35.15989838,15.086303599999999,0.30672941600000003,0.41782729799999996,0.0
United Kingdom,GBR,Europe & Central Asia,High income,2018,3.06e-05,3.16e-05,9.01e-06,2.82e-06,22.34413629,3.37e-06,1.928972146,2033.811147,6812,62192,2100.973027,16346,146551,53,599,187.5,5,594,0.677966118,29.890845600000002,0.165981397,0.91841411,0.08350237,0.9133600000000001,1485639077,224,8583,27.62221886,48.35605453,25.34326878,15.16129032,14.86836666,21.25635081,56.66088183,17.18178897,3.3661294739999996,19.56622507,19.52332801,9.676911717000001,27.38069856,33.75796178,19.43451414,6.48340249,0.077555452,0.8496517,67.79661180000001,71.78093144,52.03801936,59.37178894,56.94606207,34.73287523,8.101741363,15.45961003,14.87805301
United States of America,USA,North America,High income,2018,3.4899999999999995e-05,2.57e-05,9.41e-06,7.42e-06,56.03093548,4.4e-06,2.200960942,11408.347259999999,42160,310331,8418.048857,48175,464274,157,3078,2428.333333,353,12849,0.813559294,26.95409271,0.20196565100000002,1.03873218,0.09057657300000001,1.98863,18331497385,1438,57689,31.68987438,38.89334403,26.47058824,39.89247312,37.29367414,27.78136759,64.65017554,100.0,20.97541535,100.0,79.57151146,28.94176179,87.86388176,100.0,100.0,83.96726601,5.475414922000001,18.37908198,81.35592940000001,64.72850941,63.31970117,68.04821449,62.45375421,75.62279678,100.0,100.0,100.0
Australia,AUS,East Asia & Pacific,High income,2017,4.13e-05,3.52e-05,1.12e-05,1.44e-06,2.895329947,1.38e-06,1.718185008,1016.395635,9077,35170,865.246176,16229,62163,0,276,35.33333333,71,189,0.0,32.50086625,0.0,1.1501476240000001,0.068895367,0.0,71230502,34,2030,37.74405933,54.12991179,31.51534282,7.741935484,1.9212932440000001,8.649764973,50.46930195,8.19355408,4.494482776,10.80709625,7.776887942999999,9.606096187999999,11.31621829,0.0,8.937276568,1.22176118,1.1012874209999999,0.270343723,0.0,78.04872713,0.0,76.08265026,45.57363245,0.0,0.38579821200000003,2.228412256,3.518868415
Austria,AUT,Europe & Central Asia,High income,2017,2.5300000000000002e-05,1.75e-05,6.37e-06,3.41e-07,1.417774075,9.090000000000001e-07,0.0,222.5359649,1722,6641,154.3231602,2878,10943,0,56,3.0,0,3,0.0,21.53897849,0.0,0.828842016,0.09099234099999999,0.0,12472961,8,0,22.60859694,25.74178027,17.90296034,1.8333333330000001,0.93768407,5.66599516,0.0,1.1802963690000001,0.8304481029999999,1.5594763059999999,1.019072014,1.525257539,1.5657480940000001,0.0,1.787455314,0.10373444,0.0,0.00429117,0.0,51.72446303,0.0,52.9125297,62.77745458,0.0,0.06526152,0.41782729799999996,0.0
Belgium,BEL,Europe & Central Asia,High income,2017,2.07e-05,2.2800000000000002e-05,1.32e-06,4.69e-07,4.131789906,6.15e-07,1.3131737829999999,235.8833333,1210,6275,259.2251804,3449,19060,0,15,5.333333333,2,24,0.0,32.99832174,0.0,0.623063843,0.095761712,0.0,46999763,7,840,18.25715151,34.24218123,3.6705521610000003,2.521505376,2.744404832,3.80351464,38.57265886,1.298212089,0.575385458,1.440838117,2.016238412,1.870861528,3.1109368219999998,0.0,0.454988625,0.184416782,0.031022181,0.034329362,0.0,79.2433343,0.0,38.07337048,66.49069651,0.0,0.253613631,0.348189415,1.456083482
