artist_name,artist_url,date,datetime,difficulty,duration,hits,id,part,preset_id,rating,song_name,tab_url,tonality_name,tp_version,tracks,tuning,type,type_name,version,version_description,votes
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1316995201,2011-09-25,,,8738.0,1095227,,20509.0,4.4255,Snake Charmer,https://tabs.ultimate-guitar.com/tab/blink-182/snake_charmer_chords_1095227,,0.0,,Standard,Chords,Chords,1.0,,5
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1383696001,2013-11-05,novice,,887.0,1429967,,20509.0,0.0,Snake Charmer,https://tabs.ultimate-guitar.com/tab/blink-182/snake_charmer_chords_1429967,,0.0,,Standard,Chords,Chords,2.0,,0
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1394064001,2014-03-05,,,403.0,1467167,,20509.0,4.234,Snake Charmer,https://tabs.ultimate-guitar.com/tab/blink-182/snake_charmer_chords_1467167,,0.0,,Standard,Chords,Chords,3.0,,3
Blink-182,,1513883958,2017-12-21,,,,2261495,,,0.0,Snake Charmer,https://www.ultimate-guitar.com/pro/?utm_source=UltimateGuitar&utm_medium=Artists&utm_campaign=UG+Artists&utm_content=Official+Version&artist=Blink-182&song=Snake%20Charmer,,,,,,,,,0
Blink-182,,1316390401,2011-09-18,,4:26,,1094023,,,4.82267,Snake Charmer,https://www.ultimate-guitar.com/pro/?utm_source=UltimateGuitar&utm_medium=Artists&utm_campaign=UG+Artists&artist=Blink-182&song=Snake%20Charmer,,,"Tenor Sax (x2), Distortion Guitar, Electric Guitar (clean), Electric Bass (pick) (x2), Drums, FX 4 (atmosphere), String Ensemble 1",,,,,,6
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1316390401,2011-09-18,novice,,19017.0,1093766,,20509.0,4.40065,Snake Charmer,https://tabs.ultimate-guitar.com/tab/blink-182/snake_charmer_tabs_1093766,,0.0,,Standard,Tabs,Tab,1.0,,3
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1318896001,2011-10-17,novice,,11665.0,1101195,,20509.0,4.82267,Snake Charmer,https://tabs.ultimate-guitar.com/tab/blink-182/snake_charmer_tabs_1101195,,0.0,,Standard,Tabs,Tab,2.0,,6
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1319414401,2011-10-23,novice,,1500.0,1102541,,20509.0,0.0,Snake Charmer,https://tabs.ultimate-guitar.com/tab/blink-182/snake_charmer_tabs_1102541,,0.0,,Standard,Tabs,Tab,3.0,,0
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1365984001,2013-04-14,,,173.0,1237768,,20509.0,0.0,Snake Charmer,https://tabs.ultimate-guitar.com/tab/blink-182/snake_charmer_tabs_1237768,,0.0,,Standard,Tabs,Tab,4.0,,0
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1316390401,2011-09-18,,,4137.0,1094023,,20509.0,4.82267,Snake Charmer,https://tabs.ultimate-guitar.com/tab/blink-182/snake_charmer_guitar_pro_1094023,,1.0,,Standard,Pro,Guitar Pro,1.0,,6
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1318204801,2011-10-09,intermediate,,660.0,1098891,,20509.0,0.0,Snake Charmer,https://tabs.ultimate-guitar.com/tab/blink-182/snake_charmer_guitar_pro_1098891,,2.0,,Standard,Pro,Guitar Pro,2.0,,0
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1323216001,2011-12-06,,,5641.0,1114101,,20509.0,4.5505,Snake Charmer,https://tabs.ultimate-guitar.com/tab/blink-182/snake_charmer_bass_1114101,,0.0,,Standard,Bass Tabs,Bass,1.0,,5
Blink-182,https://www.ultimate-guitar.com/artist/blink-182_1930,1316995201,2011-09-25,,,388.0,1363491,,20509.0,0.0,Snake Charmer,https://tabs.ultimate-guitar.com/tab/blink-182/snake_charmer_ukulele_1363491,,0.0,,G C E A,Ukulele Chords,Ukulele,1.0,,0
Blink-182,,1488322601,2017-02-28,,2:54,,1955729,,,0.0,Sober,https://www.ultimate-guitar.com/pro/?utm_source=UltimateGuitar&utm_medium=Artists&utm_campaign=UG+Artists&utm_content=Official+Version&artist=Blink-182&song=Sober,,,"Clarinet, Distortion Guitar (x2), Acoustic Grand Piano, Electric Bass (finger), Drums (x2), Acoustic Guitar (steel) (x2)",,,,,,0
