code,metrics,index_score
AUT,Count of journal citation scaled,0.5465506179999999
BEL,Count of journal citation scaled,0.732365723
BRA,Count of journal citation scaled,0.761418247
CAN,Count of journal citation scaled,4.089142829
CHN,Count of journal citation scaled,27.69008219
DNK,Count of journal citation scaled,0.32623564
FIN,Count of journal citation scaled,0.38978803799999995
FRA,Count of journal citation scaled,2.822331707
DEU,Count of journal citation scaled,4.2247212769999996
IND,Count of journal citation scaled,4.387536466999999
IRL,Count of journal citation scaled,0.076262877
ISR,Count of journal citation scaled,0.30686729
ITA,Count of journal citation scaled,2.304228353
JPN,Count of journal citation scaled,2.292123134
NLD,Count of journal citation scaled,1.882361486
NOR,Count of journal citation scaled,0.206393976
PRT,Count of journal citation scaled,0.39039329899999997
RUS,Count of journal citation scaled,0.205183455
SGP,Count of journal citation scaled,2.731542568
ZAF,Count of journal citation scaled,0.0
ESP,Count of journal citation scaled,2.802963358
SWE,Count of journal citation scaled,0.574392621
CHE,Count of journal citation scaled,1.72196734
ARE,Count of journal citation scaled,0.024815697999999997
GBR,Count of journal citation scaled,9.676911717000001
USA,Count of journal citation scaled,28.94176179
AUS,Count of journal references scaled,15.10466241
AUT,Count of journal references scaled,1.8830857330000002
BEL,Count of journal references scaled,3.280170871
BRA,Count of journal references scaled,4.335170985
CAN,Count of journal references scaled,13.94191598
CHN,Count of journal references scaled,100.0
DNK,Count of journal references scaled,1.530721025
FIN,Count of journal references scaled,1.9257273830000001
FRA,Count of journal references scaled,11.7656689
DEU,Count of journal references scaled,16.10026879
IND,Count of journal references scaled,18.58395456
IRL,Count of journal references scaled,0.7791619390000001
ISR,Count of journal references scaled,2.032331508
ITA,Count of journal references scaled,9.091428267000001
JPN,Count of journal references scaled,8.103626825
NLD,Count of journal references scaled,6.357984267999999
NOR,Count of journal references scaled,1.05100246
PRT,Count of journal references scaled,1.678063155
RUS,Count of journal references scaled,1.390612745
SGP,Count of journal references scaled,6.125929931
ZAF,Count of journal references scaled,0.619446115
ESP,Count of journal references scaled,10.86600623
SWE,Count of journal references scaled,2.182909836
CHE,Count of journal references scaled,5.018389212
ARE,Count of journal references scaled,0.463727946
GBR,Count of journal references scaled,27.38069856
USA,Count of journal references scaled,87.86388176
AUS,Number of AI occupational skills scaled,14.64968153
AUT,Number of AI occupational skills scaled,0.0
BEL,Number of AI occupational skills scaled,9.554140127
BRA,Number of AI occupational skills scaled,14.01273885
CAN,Number of AI occupational skills scaled,25.47770701
CHN,Number of AI occupational skills scaled,36.30573248
DNK,Number of AI occupational skills scaled,5.732484076
FIN,Number of AI occupational skills scaled,7.006369427
FRA,Number of AI occupational skills scaled,31.21019108
DEU,Number of AI occupational skills scaled,0.0
IND,Number of AI occupational skills scaled,98.72611465
IRL,Number of AI occupational skills scaled,11.46496815
ISR,Number of AI occupational skills scaled,20.38216561
